permutation_rank,feature,permutation_importance_mean,permutation_importance_std
1,failures,0.6690004115617856,0.1792763431661844
2,absences,0.40583391074241815,0.1403031676075208
3,goout,0.16584151853187462,0.062824996338976
4,sex_M,0.14293510518326183,0.052422232483847336
5,schoolsup_yes,0.10065088392625374,0.03578093288316944
6,Medu,0.0866280042326221,0.04281606168758182
7,age,0.06031696339005958,0.02667475032815376
8,guardian_other,0.046974306195698645,0.038003050732302965
9,Fjob_teacher,0.03704568469521656,0.014899235349310603
10,Mjob_health,0.034383205376226966,0.019421640066079476
11,famrel,0.023267282377974662,0.0219781870829664
12,traveltime,0.02286716059670124,0.03606380936889145
13,famsup_yes,0.021233373765567533,0.0219222571374288
14,studytime,0.020860533830033744,0.02983896309171293
15,guardian_mother,0.020135297563274746,0.007446397535993676
16,Walc,0.014926756755856242,0.013954043656278167
17,activities_yes,0.012078772808073613,0.022879722647608323
18,reason_reputation,0.011198319575274108,0.012546025644768685
19,famsize_LE3,0.010583146540791288,0.012362946501218823
20,romantic_yes,0.010353069396207549,0.04755750073797401
21,freetime,0.008277070669372267,0.022672480849913475
22,higher_yes,0.007380574696775844,0.06159977273092672
23,school_MS,0.007063923731554978,0.008131255734085283
24,nursery_yes,0.00624441489183849,0.011001012847688497
25,address_U,0.0038072576775794787,0.0062690308090682205
26,Fjob_health,0.00026730218212325243,0.002124193405188724
27,Pstatus_T,-0.0003321494382791723,0.017118445394030787
28,Fjob_services,-0.0006352864937388958,0.010148221737744385
29,reason_other,-0.0020673994069176694,0.0028532542176755507
30,Mjob_other,-0.0023098264411739234,0.007095506467471205
31,internet_yes,-0.004354926702071271,0.020113920245689167
32,Mjob_teacher,-0.005241015401504479,0.0075112414422408074
33,Dalc,-0.011254724002854165,0.0174682735514234
34,Fedu,-0.012386702441560305,0.021383940288887144
35,paid_yes,-0.012498150363478011,0.013569796175876383
36,Fjob_other,-0.013509326134479948,0.004816169097270154
37,reason_home,-0.022315463454343386,0.02503044069740568
38,Mjob_services,-0.03741363487114939,0.009037448589003749
39,health,-0.04782346996361921,0.046374947697099704
