Model,Rank,RMSE,MAE,R2
Random Forest,1,1.97473322451841,1.1706329113924052,0.8098238322966482
Gradient Boosting,2,2.004681507881387,1.159378776277203,0.8040117686390182
Elastic Net,3,2.0386828005218853,1.255544590347229,0.797307096793844
Lasso,4,2.0424421551599767,1.2180764342742358,0.796558871450581
Extra Trees,5,2.2644825354383293,1.3311814345991562,0.7499210274296113
Ridge,6,2.369006310817141,1.6353719773948034,0.7263019769073291
Linear Regression,7,2.3783697847961367,1.6466656197147511,0.7241341236974022
Decision Tree,8,2.467248497769575,1.357218203737191,0.7031308891822728
SVR,9,2.726029721807306,1.836667853658952,0.637589811570441
MLP Regressor,10,2.784599125864401,2.020337290519022,0.6218495773067232
KNN,11,3.392695056564241,2.5848101265822785,0.4386562685587473
