RMSE Rank,Session,Week,Task Type,Scenario,Feature Set,Target,Model,Regularization,Alpha,L1 Ratio,MAE,RMSE,R2
1,28.0,3.0,Regression,Full-information,X_full,G3,Random Forest,Ensemble (300 Trees),,,1.1706329113924052,1.97473322451841,0.8098238322966482
2,29.0,3.0,Regression,Full-information,X_full,G3,Gradient Boosting,Boosting Ensemble,,,1.159378776277203,2.004681507881387,0.8040117686390182
3,25.0,3.0,Regression,Full-information,X_full,G3,Elastic Net,L1+L2,1.0,0.5,1.255544590347229,2.0386828005218853,0.797307096793844
4,25.0,3.0,Regression,Full-information,X_full,G3,Lasso,L1,1.0,,1.2180764342742358,2.0424421551599767,0.796558871450581
5,29.0,3.0,Regression,Full-information,X_full,G3,Extra Trees,Ensemble (300 Trees),,,1.3311814345991562,2.2644825354383293,0.7499210274296113
6,25.0,3.0,Regression,Full-information,X_full,G3,Ridge,L2,1.0,,1.6353719773948034,2.369006310817141,0.7263019769073291
7,25.0,3.0,Regression,Full-information,X_full,G3,Linear Regression,,,,1.6466656197147511,2.3783697847961367,0.7241341236974022
8,27.0,3.0,Regression,Full-information,X_full,G3,Decision Tree,Depth-Limited,,,1.357218203737191,2.467248497769575,0.7031308891822728
9,,,,,,,SVR,,,,1.836667853658952,2.726029721807306,0.637589811570441
10,,,,,,,KNN,,,,2.5848101265822785,3.392695056564241,0.4386562685587473
